,date,ipsrc,ipdst,protocol,portdst
Apr-29, 2019 18:58:36.860076000,185.176.27.178,193.194.76.227,6,5902
Apr-29, 2019 18:58:36.860081000,185.176.27.178,193.194.76.246,6,5902
Apr-29, 2019 18:58:37.885888000,46.232.112.17,193.194.76.226,6,1453
Apr-29, 2019 18:58:41.901891000,216.218.206.77,193.194.76.246,6,8080
Apr-29, 2019 18:58:42.216352000,89.248.174.3,193.194.76.250,6,1311
Apr-29, 2019 18:58:43.422608000,185.176.27.178,193.194.76.244,6,5902
Apr-29, 2019 18:58:45.991631000,81.22.45.254,193.194.76.245,6,3400
Apr-29, 2019 18:58:48.210981000,89.248.174.3,193.194.76.235,6,1311
Apr-29, 2019 18:58:48.528066000,113.173.154.3,193.194.76.238,6,23
Apr-29, 2019 18:58:50.561833000,185.176.27.162,193.194.76.243,6,10474
Apr-29, 2019 18:58:52.691837000,185.208.209.6,193.194.76.225,6,1113
Apr-29, 2019 18:58:53.389012000,36.81.144.254,193.194.76.247,6,445
Apr-29, 2019 18:58:53.517103000,185.176.27.178,193.194.76.234,6,5902
Apr-29, 2019 18:58:53.844434000,185.176.26.61,193.194.76.223,6,33689
Apr-29, 2019 18:58:56.186813000,61.80.104.85,193.194.76.231,6,23
Apr-29, 2019 18:58:56.279397000,89.248.174.3,193.194.76.226,6,1311
Apr-29, 2019 18:58:57.577087000,193.194.103.77,193.194.76.229,6,8291
Apr-29, 2019 18:58:59.726367000,89.248.174.3,193.194.76.238,6,1311
Apr-29, 2019 18:59:00.311996000,89.248.174.3,193.194.76.243,6,1311
Apr-29, 2019 18:59:00.415073000,185.176.27.162,193.194.76.241,6,10365
Apr-29, 2019 18:59:04.169148000,81.22.45.254,193.194.76.222,6,3400
Apr-29, 2019 18:59:04.521662000,185.176.27.246,193.194.76.222,6,2202
Apr-29, 2019 18:59:07.020177000,185.176.27.2,193.194.76.252,6,3333
Apr-29, 2019 18:59:07.026919000,89.248.174.3,193.194.76.223,6,1311
Apr-29, 2019 18:59:08.470545000,185.176.27.162,193.194.76.224,6,10365
Apr-29, 2019 18:59:11.613461000,103.129.105.154,193.194.76.234,6,8080
Apr-29, 2019 18:59:11.747444000,1.64.211.8,193.194.76.248,6,5555
Apr-29, 2019 18:59:18.862560000,150.95.154.174,193.194.76.226,6,445
Apr-29, 2019 18:59:18.909781000,79.107.204.165,193.194.76.238,6,23
Apr-29, 2019 18:59:19.443291000,185.176.27.246,193.194.76.242,6,2202
Apr-29, 2019 18:59:20.014859000,61.220.150.137,193.194.76.241,6,445
Apr-29, 2019 18:59:20.510073000,193.194.103.77,193.194.76.225,6,23
Apr-29, 2019 18:59:21.224650000,12.187.102.186,193.194.76.236,6,445
Apr-29, 2019 18:59:22.412929000,185.176.26.61,193.194.76.224,6,33689
Apr-29, 2019 18:59:24.042871000,41.34.74.178,193.194.76.232,6,23
Apr-29, 2019 18:59:24.777244000,107.175.25.87,193.194.76.253,6,23
Apr-29, 2019 18:59:24.798135000,191.242.232.46,193.194.76.244,6,445
Apr-29, 2019 18:59:25.801280000,185.176.27.2,193.194.76.235,6,3333
Apr-29, 2019 18:59:28.376182000,185.176.26.61,193.194.76.229,6,33689
Apr-29, 2019 18:59:30.667626000,89.248.174.3,193.194.76.232,6,1311
Apr-29, 2019 18:59:31.112349000,61.222.93.94,193.194.76.247,6,445
Apr-29, 2019 18:59:32.881410000,185.176.27.246,193.194.76.241,6,2202
Apr-29, 2019 18:59:33.712562000,202.83.10.62,193.194.76.223,6,445
Apr-29, 2019 18:59:35.187400000,89.248.174.3,193.194.76.239,6,1311
Apr-29, 2019 18:59:35.944651000,196.52.43.99,193.194.76.223,6,5900
Apr-29, 2019 18:59:38.033677000,61.219.238.19,193.194.76.232,6,23
Apr-29, 2019 18:59:39.833149000,176.32.35.100,193.194.76.224,6,81
Apr-29, 2019 18:59:41.049970000,115.165.211.205,193.194.76.254,6,2323
Apr-29, 2019 18:59:41.806643000,185.176.27.246,193.194.76.225,6,2202
Apr-29, 2019 18:59:42.079844000,134.209.145.42,193.194.76.234,6,23
Apr-29, 2019 18:59:42.407874000,134.209.145.42,193.194.76.234,6,23
Apr-29, 2019 18:59:42.914806000,42.115.192.226,193.194.76.245,6,23
Apr-29, 2019 18:59:43.000168000,185.200.118.40,193.194.76.235,6,3128
Apr-29, 2019 18:59:44.762645000,71.6.146.185,193.194.76.250,6,9306
Apr-29, 2019 18:59:48.799042000,185.176.27.162,193.194.76.252,6,10365
Apr-29, 2019 18:59:51.638155000,185.176.26.61,193.194.76.226,6,33689
Apr-29, 2019 18:59:52.637923000,212.56.202.146,193.194.76.249,6,23
Apr-29, 2019 18:59:53.524898000,185.176.26.61,193.194.76.232,6,33689
Apr-29, 2019 18:59:55.658687000,198.108.66.250,193.194.76.239,6,1311
Apr-29, 2019 18:59:55.834788000,185.176.26.61,193.194.76.253,6,33689
Apr-29, 2019 18:59:56.985037000,115.144.238.221,193.194.76.253,6,445
Apr-29, 2019 18:59:58.098426000,188.246.224.44,193.194.76.251,6,3389
Apr-29, 2019 18:59:58.939864000,186.2.132.95,193.194.76.240,6,445
Apr-29, 2019 19:00:01.245088000,185.176.26.61,193.194.76.234,6,33689
Apr-29, 2019 19:00:04.416388000,185.176.27.246,193.194.76.223,6,7102
Apr-29, 2019 19:00:07.551549000,5.226.139.30,193.194.76.224,6,81
Apr-29, 2019 19:00:08.499090000,188.246.224.44,193.194.76.229,6,3389
Apr-29, 2019 19:00:08.964916000,89.248.162.168,193.194.76.242,6,9029
Apr-29, 2019 19:00:09.681437000,188.246.224.44,193.194.76.250,6,3389
Apr-29, 2019 19:00:10.188763000,71.6.199.23,193.194.76.248,6,2376
Apr-29, 2019 19:00:14.397322000,185.142.236.35,193.194.76.223,6,5009
Apr-29, 2019 19:00:16.323888000,105.176.32.242,193.194.76.224,6,5555
Apr-29, 2019 19:00:16.895300000,185.176.27.246,193.194.76.232,6,2202
Apr-29, 2019 19:00:17.642634000,185.176.27.246,193.194.76.227,6,2202
Apr-29, 2019 19:00:18.601610000,188.246.224.44,193.194.76.228,6,3389
Apr-29, 2019 19:00:22.080327000,185.176.26.61,193.194.76.230,6,33689
Apr-29, 2019 19:00:22.848437000,185.176.27.246,193.194.76.252,6,2202
Apr-29, 2019 19:00:24.421381000,92.118.37.86,193.194.76.249,6,31859
Apr-29, 2019 19:00:26.821045000,209.126.230.71,193.194.76.236,6,4961
Apr-29, 2019 19:00:26.897556000,197.46.248.128,193.194.76.242,6,23
Apr-29, 2019 19:00:27.979218000,185.176.26.61,193.194.76.222,6,33689
Apr-29, 2019 19:00:29.675757000,185.208.209.6,193.194.76.226,6,1113
Apr-29, 2019 19:00:30.837754000,128.14.209.251,193.194.76.243,6,9002
Apr-29, 2019 19:00:31.069530000,89.248.162.168,193.194.76.228,6,9029
Apr-29, 2019 19:00:31.846886000,185.176.27.246,193.194.76.237,6,2202
Apr-29, 2019 19:00:32.738431000,89.248.162.168,193.194.76.222,6,9029
Apr-29, 2019 19:00:34.404982000,89.248.162.168,193.194.76.249,6,9029
Apr-29, 2019 19:00:35.227064000,219.147.89.97,193.194.76.240,6,445
Apr-29, 2019 19:00:36.502925000,60.177.21.104,193.194.76.252,6,22
Apr-29, 2019 19:00:37.685862000,185.176.26.61,193.194.76.227,6,33689
Apr-29, 2019 19:00:39.283082000,185.176.27.246,193.194.76.243,6,2202
Apr-29, 2019 19:00:39.359982000,81.22.45.254,193.194.76.246,6,3400
Apr-29, 2019 19:00:42.334775000,89.248.162.168,193.194.76.224,6,9029
Apr-29, 2019 19:00:43.406152000,134.209.145.42,193.194.76.234,6,23
Apr-29, 2019 19:00:44.311317000,134.209.145.42,193.194.76.234,6,23
Apr-29, 2019 19:00:44.998574000,185.173.35.45,193.194.76.234,6,1433
Apr-29, 2019 19:00:45.874918000,221.142.138.30,193.194.76.253,6,23
Apr-29, 2019 19:00:47.272212000,115.238.157.105,193.194.76.244,6,445
Apr-29, 2019 19:00:48.516799000,81.22.45.254,193.194.76.237,6,3400
Apr-29, 2019 19:00:50.258341000,77.42.115.5,193.194.76.249,6,23
Apr-29, 2019 19:00:51.195708000,185.234.217.215,193.194.76.253,6,3128
Apr-29, 2019 19:00:53.079408000,81.22.45.254,193.194.76.238,6,3400
Apr-29, 2019 19:00:54.550558000,193.194.103.77,193.194.76.226,6,23
Apr-29, 2019 19:00:54.819956000,89.248.162.168,193.194.76.237,6,9029
Apr-29, 2019 19:00:56.645001000,86.110.163.220,193.194.76.246,6,23
Apr-29, 2019 19:00:56.709659000,191.242.232.46,193.194.76.236,6,445
Apr-29, 2019 19:00:57.884643000,156.208.28.239,193.194.76.249,6,23
Apr-29, 2019 19:00:58.152134000,89.248.162.168,193.194.76.241,6,9029
